,Start date,SUBJECT,DESCRIPTION,
Tuesday,2025-07-15,Tuesday after Pentecost 5,"Tuesday 15 July 2025

Tuesday after Pentecost 5 (Green)
Week of Proper 15
Year C/1

DAILY EUCHARIST
Exodus 2:1-15
Psalm 69:1-2, 31-38
Matthew 11:20-24

DAILY PRAYER: Week B
1 Samuel 19:1-18
Acts 12:1-17
Mark 2:1-12

COLLECT (Proper 15)
O God, 
you have prepared for those who love you 
good things no eye has seen: 
pour into our hearts such love of you, 
that, by loving you in all things and above all things, 
we may be worthy of your promises, 
which surpass all we can desire; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-07-16,Wednesday after Pentecost 5,"Wednesday 16 July 2025

Wednesday after Pentecost 5 (Green)
Week of Proper 15
Year C/1

DAILY EUCHARIST
Exodus 3:1-12
Psalm 103:1-7
Matthew 11:25-27

DAILY PRAYER: Week B
1 Samuel 20:1-23
Acts 12:18-25
Mark 2:13-22

COLLECT (Proper 15)
O God, 
you have prepared for those who love you 
good things no eye has seen: 
pour into our hearts such love of you, 
that, by loving you in all things and above all things, 
we may be worthy of your promises, 
which surpass all we can desire; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-07-17,"Jane Haining, Missionary and Martyr, 1944 [6] Red","Thursday 17 July 2025

Jane Haining, Missionary and Martyr, 1944 [6] Red
Thursday after Pentecost 5 (Green)
Week of Proper 15
Year C/1

DAILY EUCHARIST
Exodus 3:13-20
Psalm 105:1-15
Matthew 11:28-30

DAILY PRAYER: Week B
1 Samuel 20:24-42
Acts 13:1-12
Mark 2:23 - 3:6

COLLECT (Proper 15)
O God, 
you have prepared for those who love you 
good things no eye has seen: 
pour into our hearts such love of you, 
that, by loving you in all things and above all things, 
we may be worthy of your promises, 
which surpass all we can desire; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-07-18,Friday after Pentecost 5,"Friday 18 July 2025

Friday after Pentecost 5 (Green)
Week of Proper 15
Year C/1

DAILY EUCHARIST
Exodus 11:10 - 12:14
Psalm 116:10-17
Matthew 12:1-8

DAILY PRAYER: Week B
1 Samuel 21:1-15
Acts 13:13-25
Mark 3:7-19a

COLLECT (Proper 15)
O God, 
you have prepared for those who love you 
good things no eye has seen: 
pour into our hearts such love of you, 
that, by loving you in all things and above all things, 
we may be worthy of your promises, 
which surpass all we can desire; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-07-19,Saturday after Pentecost 5,"Saturday 19 July 2025

Saturday after Pentecost 5 (Green)
Week of Proper 15
Year C/1

DAILY EUCHARIST
Exodus 12:37-42
Psalm 136:1-3, 10-15
Matthew 12:14-21

DAILY PRAYER: Week B
1 Samuel 22:1-23
Acts 13:26-43
Mark 3:19b-35

COLLECT (Proper 15)
O God, 
you have prepared for those who love you 
good things no eye has seen: 
pour into our hearts such love of you, 
that, by loving you in all things and above all things, 
we may be worthy of your promises, 
which surpass all we can desire; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-07-20,Pentecost 6 [3] Green; SPB Trinity 5,"Sunday 20 July 2025

Pentecost 6 [3] Green; SPB Trinity 5
Week of Proper 16
Year C/1

EUCHARIST

Continuous:
Amos 8:1-12
Psalm 52
Colossians 1:15-28
Luke 10:38-42

Thematic:
Genesis 18:1-10a
Psalm 15
Colossians 1:15-28
Luke 10:38-42

DAILY PRAYER: Week C
1 Kings 2:10-12; 3:16-28
Acts 4:1-15
Mark 6:30-34, 53-56

ALTERNATIVE PSALMS
Morning: Psalm 67
Evening: Psalm 73

COLLECT (Proper 16)
O God of power and might, 
all good things belong to you: 
sow in our hearts the love of your name,
and make us grow in the life of faith;
nurture the things that are good,
and tend them with your loving care; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-07-21,"William Wilberforce, 1833 [6] White","Monday 21 July 2025

William Wilberforce, 1833 [6] White
Monday after Pentecost 6 (Green)
Week of Proper 16
Year C/1

DAILY EUCHARIST
Exodus 14:5-18
Psalm 114
Matthew 12:38-42

DAILY PRAYER: Week C
1 Samuel 24:1-22
Acts 13:44-52
Mark 4:1-20

COLLECT (Proper 16)
O God of power and might, 
all good things belong to you: 
sow in our hearts the love of your name,
and make us grow in the life of faith;
nurture the things that are good,
and tend them with your loving care; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-07-22,Mary Magdalene [4] White,"Tuesday 22 July 2025

Mary Magdalene [4] White
Week of Proper 16
Year C/1

EUCHARIST
Judith 9:1, 11-14 or Song of Solomon 3:1-4
Psalm 42:1-7
2 Corinthians 5:14-17
John 20:1-2, 11-18

MORNING PRAYER: Festivals
Zephaniah 3:14-20
Mark 15:27 - 16:7

EVENING PRAYER: Festivals
Exodus 15:19-21
2 Corinthians 1:3-7

COLLECT (Mary Magdalene)
Almighty God, 
whose Son restored Mary Magdalene 
to wholeness of body, mind and spirit, 
and called her to be a witness of his resurrection: 
forgive us, heal us, and strengthen us by your grace, 
that we may serve you in the power of his risen life; 
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Tuesday after Pentecost 6 (Green)
Week of Proper 16
Year C/1

DAILY EUCHARIST
Exodus 14:21 - 15:1
Canticle: Exodus 15:1-3, 6, 11, 13, 17-18
Matthew 12:46-50

DAILY PRAYER: Week C
1 Samuel 25:1-22
Acts 14:1-18
Mark 4:21-34

COLLECT (Proper 16)
O God of power and might, 
all good things belong to you: 
sow in our hearts the love of your name,
and make us grow in the life of faith;
nurture the things that are good,
and tend them with your loving care; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-07-23,Wednesday after Pentecost 6,"Wednesday 23 July 2025

Wednesday after Pentecost 6 (Green)
Week of Proper 16
Year C/1

DAILY EUCHARIST
Exodus 16:1-5, 9-15
Psalm 78:18-29
Matthew 13:1-9

DAILY PRAYER: Week C
1 Samuel 25:23-44
Acts 14:19-28
Mark 4:35-41

COLLECT (Proper 16)
O God of power and might, 
all good things belong to you: 
sow in our hearts the love of your name,
and make us grow in the life of faith;
nurture the things that are good,
and tend them with your loving care; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-07-24,Thursday after Pentecost 6,"Thursday 24 July 2025

Thursday after Pentecost 6 (Green)
Week of Proper 16
Year C/1

DAILY EUCHARIST
Exodus 19:1-20
Psalm 24:1-6
Matthew 13:10-17

DAILY PRAYER: Week C
1 Samuel 28:3-20
Acts 15:1-11
Mark 5:1-20

COLLECT (Proper 16)
O God of power and might, 
all good things belong to you: 
sow in our hearts the love of your name,
and make us grow in the life of faith;
nurture the things that are good,
and tend them with your loving care; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-07-25,"James, Apostle [4] Red","Friday 25 July 2025

James, Apostle [4] Red
Week of Proper 16
Year C/1

EUCHARIST
Jeremiah 45:1-5
Psalm 7:1-10 or Psalm 126
Acts 11:27 - 12:2, (3)
Matthew 20:20-28

MORNING PRAYER: Festivals
Jeremiah 16:14-21
Mark 1:14-20

EVENING PRAYER: Festivals
Jeremiah 26:1-15
Matthew 10:16-32

COLLECT (James)
O God of mercy:
grant that, as your holy Apostle James, 
leaving his father and all that he had, 
was obedient to the calling of your Son Jesus Christ,
and followed him even to death; 
so we, forsaking all selfish desires, 
may ever be ready to obey your call;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Friday after Pentecost 6 (Green)
Week of Proper 16
Year C/1

DAILY EUCHARIST
Exodus 20:1-17
Psalm 19:7-10
Matthew 13:18-23

DAILY PRAYER: Week C
1 Samuel 31:1-13
Acts 15:12-21
Mark 5:21-43

COLLECT (Proper 16)
O God of power and might, 
all good things belong to you: 
sow in our hearts the love of your name,
and make us grow in the life of faith;
nurture the things that are good,
and tend them with your loving care; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-07-26,"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White","Saturday 26 July 2025

Anne and Joachim, Parents of Mary, Mother of the Lord [6] White
Saturday after Pentecost 6 (Green)
Week of Proper 16
Year C/1

DAILY EUCHARIST
Exodus 24:3-8
Psalm 50:1-15
Matthew 13:24-30

DAILY PRAYER: Week C
2 Samuel 1:1-16
Acts 15:22-35
Mark 6:1-13

COLLECT (Proper 16)
O God of power and might, 
all good things belong to you: 
sow in our hearts the love of your name,
and make us grow in the life of faith;
nurture the things that are good,
and tend them with your loving care; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-07-27,Pentecost 7 [3] Green; SPB Trinity 6,"Sunday 22 July 2025

Pentecost 7 [3] Green; SPB Trinity 6
Week of Proper 17
Year C/1

EUCHARIST

Continuous:
Hosea 1:2-10
Psalm 85
Colossians 2:6-15, (16-19)
Luke 11:1-13

Thematic:
Genesis 18:20-32
Psalm 138
Colossians 2:6-15, (16-19)
Luke 11:1-13

DAILY PRAYER: Week D
1 Kings 6:11-14, 23-28
Acts 12:1-17
John 6:1-21

ALTERNATIVE PSALMS
Morning: Psalm 75
Evening: Psalm 74

COLLECT (Proper 17)
O God, 
whose providence orders all things in heaven and earth: 
keep from us everything harmful, 
and lead us to all that is good;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-07-28,"John Comper, Priest, 1903 [6] White (transferred from 27 July)","Monday 28 July 2025

John Comper, Priest, 1903 [6] White (transferred from 27 July)
Monday after Pentecost 7 (Green)
Week of Proper 17
Year C/1

DAILY EUCHARIST
Exodus 32:15-24, 30-34
Psalm 106:19-23
Matthew 13:31-35

DAILY PRAYER: Week D
2 Samuel 2:1-11
Acts 15:36 - 16:5
Mark 6:14-29

COLLECT (Proper 17)
O God, 
whose providence orders all things in heaven and earth: 
keep from us everything harmful, 
and lead us to all that is good;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-07-29,Martha and Mary of Bethany [6] White,"Tuesday 29 July 2025

Martha and Mary of Bethany [6] White
Tuesday after Pentecost 7 (Green)
Week of Proper 17
Year C/1

DAILY EUCHARIST
Exodus 33:7-11; 34:5-10, 27-28
Psalm 103:5-13
Matthew 13:36-43

DAILY PRAYER: Week D
2 Samuel 3:6-21
Acts 16:6-15
Mark 6:30-46

COLLECT (Proper 17)
O God, 
whose providence orders all things in heaven and earth: 
keep from us everything harmful, 
and lead us to all that is good;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-07-30,"Silas, Companion of Saint Paul [6] White","Wednesday 30 July 2025

Silas, Companion of Saint Paul [6] White
Wednesday after Pentecost 7 (Green)
Week of Proper 17
Year C/1

DAILY EUCHARIST
Exodus 34:29-35
Psalm 99
Matthew 13:44-46 

DAILY PRAYER: Week D
2 Samuel 3:22-39
Acts 16:16-24
Mark 6:47-56

COLLECT (Proper 17)
O God, 
whose providence orders all things in heaven and earth: 
keep from us everything harmful, 
and lead us to all that is good;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-07-31,"Ignatius Loyola, Priest and Religious, 1556 [6] White","Thursday 31 July 2025

Ignatius Loyola, Priest and Religious, 1556 [6] White
Thursday after Pentecost 7 (Green)
Week of Proper 17
Year C/1

DAILY EUCHARIST
Exodus 40:16-21, 34-38
Psalm 84
Matthew 13:47-53

DAILY PRAYER: Week D
2 Samuel 4:1-12
Acts 16:25-40
Mark 7:1-23

COLLECT (Proper 17)
O God, 
whose providence orders all things in heaven and earth: 
keep from us everything harmful, 
and lead us to all that is good;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-08-01,Friday after Pentecost 7,"Friday 1 August 2025

Friday after Pentecost 7 (Green)
Week of Proper 17
Year C/1

DAILY EUCHARIST
Leviticus 23:1-11, 26-38
Psalm 81:1-10
Matthew 13:54-58

DAILY PRAYER: Week D
2 Samuel 5:1-12
Acts 17:1-15
Mark 7:24-37

COLLECT (Proper 17)
O God, 
whose providence orders all things in heaven and earth: 
keep from us everything harmful, 
and lead us to all that is good;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-08-02,Saturday after Pentecost 7,"Saturday 2 August 2025

Saturday after Pentecost 7 (Green)
Week of Proper 17
Year C/1

DAILY EUCHARIST
Leviticus 25:1, 8-17
Psalm 67
Matthew 14:1-12 

DAILY PRAYER: Week D
2 Samuel 5:22 - 6:11
Acts 17:16-34
Mark 8:1-10

COLLECT (Proper 17)
O God, 
whose providence orders all things in heaven and earth: 
keep from us everything harmful, 
and lead us to all that is good;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-08-03,Pentecost 8 [3] Green; SPB Trinity 7,"Sunday 3 August 2025

Pentecost 8 [3] Green; SPB Trinity 7
Week of Proper 18
Year C/1

EUCHARIST

Continuous:
Hosea 11:1-11
Psalm 107:1-9, 43
Colossians 3:1-11
Luke 12:13-21

Thematic:
Ecclesiastes 1:2, 12-14; 2:18-23
Psalm 49:1-12
Colossians 3:1-11
Luke 12:13-21

DAILY PRAYER: Week A
1 Kings 10:1-13
Acts 13:1-13
John 6:24-35

ALTERNATIVE PSALMS
Morning: Psalm 80
Evening: Psalm 88

COLLECT (Proper 18)
Grant to us, Lord, the spirit 
to think on those things that are right,
and always to be ready to do them:
that we, who without you cannot be alive, 
may have the strength to live according to your will;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2025-08-04,Monday after Pentecost 8,"Monday 4 August 2025

Monday after Pentecost 8 (Green)
Week of Proper 18
Year C/1

DAILY EUCHARIST
Numbers 11:4-15
Psalm 81:10-16
Matthew 14:22-36

DAILY PRAYER: Week A
2 Samuel 7:1-17
Acts 18:1-11
Mark 8:11-21

COLLECT (Proper 18)
Grant to us, Lord, the spirit 
to think on those things that are right,
and always to be ready to do them:
that we, who without you cannot be alive, 
may have the strength to live according to your will;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2025-08-05,"Oswald of Northumbria, Martyr, 642 [6] Red","Tuesday 5 August 2025

Oswald of Northumbria, Martyr, 642 [6] Red
Tuesday after Pentecost 8 (Green)
Week of Proper 18
Year C/1

DAILY EUCHARIST
Numbers 12:1-17
Psalm 51:1-12
Matthew 15:1-2, 10-14

MORNING PRAYER: Week A
2 Samuel 7:18-29
Acts 18:12-28
Mark 8:22-33

COLLECT (Proper 18)
Grant to us, Lord, the spirit 
to think on those things that are right,
and always to be ready to do them:
that we, who without you cannot be alive, 
may have the strength to live according to your will;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.

---

EVENING PRAYER before The Transfiguration of the Lord [2] White: Festivals
1 Kings 19:1-12
2 Corinthians 3:1-9, 18

COLLECT (The Transfiguration of the Lord)
Almighty and everlasting God, 
who revealed the glory of your beloved Son 
when he was transfigured on the holy mountain: 
mercifully grant us such a vision of his divine majesty,
that, being purified and strengthened by your grace, 
we may be transformed into his likeness, from glory to glory;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.",
Wednesday,2025-08-06,The Transfiguration of the Lord [2] White,"Wednesday 6 August 2025

The Transfiguration of the Lord [2] White
Wednesday after Pentecost 8 (Green)
Week of Proper 18
Year C/1

EUCHARIST
Daniel 7:9-10, 13-14
Psalm 97 or Psalm 99
2 Peter 1:16-19
Luke 9:28-36

MORNING PRAYER: Festivals
Exodus 24:12-18
2 Corinthians 4:1-6

EVENING PRAYER: Festivals
Daniel 7:9-10, 13-14 or Exodus 3:1-15
John 12:27-36a

COLLECT (The Transfiguration of the Lord)
Almighty and everlasting God, 
who revealed the glory of your beloved Son 
when he was transfigured on the holy mountain: 
mercifully grant us such a vision of his divine majesty,
that, being purified and strengthened by your grace, 
we may be transformed into his likeness, from glory to glory;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.",
Thursday,2025-08-07,Thursday after Pentecost 8,"Thursday 7 August 2025

Thursday after Pentecost 8 (Green)
Week of Proper 18
Year C/1

DAILY EUCHARIST
Numbers 20:1-13
Psalm 95:1-9
Matthew 16:13-23

DAILY PRAYER: Week A
2 Samuel 11:1-27
Acts 19:11-20
Mark 9:2-13

COLLECT (Proper 18)
Grant to us, Lord, the spirit 
to think on those things that are right,
and always to be ready to do them:
that we, who without you cannot be alive, 
may have the strength to live according to your will;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
